time,tof_height,accel_x,accel_y,accel_z,inlet_pressure,air_spring_pressure,inlet_valve,exhaust_valve
1.2625,163.5600,0.0243,-0.0107,9.6637,2.9551,1.5073,0,1
1.2826,164.6270,0.0527,0.0059,9.7025,2.9465,1.5108,0,1
1.3026,165.7534,-0.0044,-0.0577,9.7723,2.9424,1.4890,0,1
1.3226,166.8972,-0.0045,0.0344,9.7479,2.9515,1.5092,0,1
1.3427,168.0172,-0.0183,-0.0029,9.9551,2.9496,1.4957,0,1
1.3627,169.0750,0.0522,0.0157,9.8080,2.9569,1.4936,0,1
1.3828,170.0358,0.1063,0.0977,9.9452,2.9504,1.4908,0,1
1.4028,170.8694,-0.0354,-0.0662,9.9216,2.9557,1.4937,0,1
1.4228,171.5514,-0.0031,-0.0191,9.6640,2.9612,1.5062,0,1
1.4429,172.0638,0.0055,0.0549,9.7488,2.9608,1.4964,0,1
1.4629,172.3952,0.0167,0.0566,10.0253,2.9524,1.5009,0,1
1.4830,172.5410,0.0536,-0.0256,9.9053,2.9661,1.4836,0,1
1.5030,172.5034,0.0415,0.0407,9.7689,2.9553,1.4943,0,1
1.5230,172.2908,0.0088,-0.0250,10.0025,2.9495,1.4944,0,1
1.5431,171.9177,-0.0361,0.0067,9.8786,2.9459,1.4944,0,1
1.5631,171.4034,0.0769,0.0957,9.7576,2.9521,1.5067,0,1
1.5832,170.7718,-0.0347,-0.1110,9.7865,2.9518,1.4877,0,1
1.6032,170.0497,-0.0013,0.0283,9.8396,2.9606,1.4829,0,1
1.6232,169.2660,0.0122,-0.0445,9.5988,2.9575,1.4916,0,1
1.6433,168.4508,0.0289,0.0258,9.7951,2.9572,1.4769,0,1
1.6633,167.6342,0.0103,0.0278,9.9868,2.9529,1.4888,0,1
1.6834,166.8449,0.0782,0.0260,9.7641,2.9546,1.4881,0,1
1.7034,166.1097,-0.0337,-0.0069,9.6690,2.9560,1.4888,0,1
1.7234,165.4524,-0.0082,-0.0320,9.7466,2.9505,1.5075,0,1
1.7435,164.8932,0.0011,0.0069,9.6999,2.9580,1.5017,0,1
1.7635,164.4478,0.0327,-0.0971,9.8760,2.9592,1.5245,0,1
1.7836,164.1275,-0.0314,-0.0400,9.8521,2.9542,1.4942,0,1
1.8036,163.9387,-0.0178,0.0165,9.8536,2.9561,1.4929,0,1
1.8236,163.8828,0.0767,-0.0395,9.6804,2.9630,1.5083,0,1
1.8437,163.9567,-0.0232,-0.0398,9.8545,2.9610,1.5114,0,1
1.8637,164.1526,0.0032,-0.0264,9.9653,2.9697,1.5058,0,1
1.8838,164.4588,0.0381,0.0255,9.8963,2.9690,1.5050,0,1
1.9038,164.8602,-0.0043,-0.0431,9.6245,2.9604,1.5032,0,1
1.9238,165.3389,-0.0295,0.0017,9.8469,2.9708,1.4965,0,1
1.9439,165.8750,0.0686,-0.0603,9.7498,2.9631,1.5026,0,1
1.9639,166.4473,-0.0455,-0.0100,9.7998,2.9700,1.5072,0,1
1.9840,167.0342,-0.0090,-0.0120,9.8161,2.9636,1.4858,0,1
2.0040,167.6145,-0.0512,0.0229,9.7502,2.9748,1.4765,1,0
2.0240,168.1680,0.0177,-0.0333,9.8968,2.9654,1.4765,1,0
2.0441,168.6762,0.0722,-0.0530,9.7897,2.9697,1.5049,1,0
2.0641,169.1229,0.0251,-0.0321,9.6294,2.9742,1.4880,1,0
2.0842,169.4949,0.0202,0.0180,9.7765,2.9671,1.4820,1,0
2.1042,169.7819,0.1183,-0.0631,9.7636,2.9809,1.4954,1,0
2.1242,169.9772,0.0300,0.0521,9.8087,2.9835,1.4831,1,0
2.1443,170.0775,0.0424,-0.0350,9.8544,2.9813,1.4855,1,0
2.1643,170.0830,0.0312,-0.0081,9.7160,2.9848,1.5005,1,0
2.1844,169.9972,0.0200,-0.0188,9.7851,2.9747,1.4897,1,0
2.2044,169.8267,0.0801,-0.0253,9.7387,2.9835,1.5032,1,0
2.2244,169.5809,-0.0171,0.1418,9.9646,2.9841,1.4974,1,0
2.2445,169.2714,-0.1086,0.0221,9.7329,2.9912,1.4999,1,0
2.2645,168.9116,0.0017,-0.0702,9.6952,2.9908,1.5134,1,0
2.2846,168.5162,0.0478,0.0107,9.7221,2.9898,1.5174,1,0
2.3046,168.1005,-0.0077,0.0388,9.9239,2.9936,1.5013,1,0
2.3246,167.6799,-0.0102,-0.0183,9.6981,2.9866,1.5062,1,0
2.3447,167.2696,-0.0243,-0.0413,9.6469,2.9921,1.4980,1,0
2.3647,166.8834,0.0183,-0.0372,9.8036,2.9863,1.5096,1,0
2.3848,166.5342,0.0129,0.0159,9.9364,2.9875,1.5247,1,0
2.4048,166.2328,0.0823,0.0432,9.8243,3.0000,1.4969,1,0
2.4248,165.9878,0.0373,-0.0172,9.9228,3.0026,1.5037,1,0
2.4449,165.8058,-0.0129,-0.0572,9.7957,2.9815,1.5087,1,0
2.4649,165.6907,0.0638,-0.0414,9.6076,3.0041,1.4942,1,0
2.4850,165.6439,-0.0303,0.0401,9.7866,2.9990,1.4864,1,0
2.5050,165.6644,-0.0178,-0.0235,9.7632,3.0079,1.5150,1,0
2.5251,165.7487,0.0415,-0.1056,9.7988,3.0001,1.5211,1,0
2.5451,165.8915,0.0491,0.0292,9.8395,2.9990,1.5171,1,0
2.5651,166.0855,0.0342,0.1055,9.8434,3.0080,1.5029,1,0
2.5852,166.3216,-0.0137,0.0021,9.6618,3.0110,1.5073,1,0
2.6052,166.5900,0.0482,0.0808,9.7896,3.0148,1.5160,1,0
2.6253,166.8800,-0.0217,0.0452,10.0706,3.0028,1.5149,1,0
2.6453,167.1804,0.0899,0.0297,9.9344,2.9999,1.4831,1,0
2.6653,167.4803,-0.0405,0.0751,9.7357,3.0034,1.5130,1,0
2.6854,167.7691,-0.0008,-0.0019,9.8026,3.0080,1.5081,1,0
2.7054,168.0371,-0.1248,0.0285,9.8674,3.0123,1.4987,1,0
2.7255,168.2756,-0.0658,-0.0172,9.8178,3.0116,1.5046,1,0
2.7455,168.4774,0.0173,-0.0499,9.9291,3.0171,1.4915,1,0
2.7655,168.6368,-0.0042,0.0224,9.8445,3.0166,1.5048,1,0
2.7856,168.7498,0.0233,-0.0424,9.7877,3.0112,1.5026,1,0
2.8056,168.8144,0.0540,-0.0138,9.8326,3.0081,1.5015,1,0
2.8257,168.8301,-0.0158,-0.0139,9.6907,3.0175,1.4942,1,0
2.8457,168.7983,-0.0215,-0.0391,9.9196,3.0217,1.5102,1,0
2.8657,168.7219,-0.0040,-0.0214,9.9614,3.0164,1.4975,1,0
2.8858,168.6055,-0.0941,0.0739,9.8464,3.0254,1.4874,1,0
2.9058,168.4547,0.0163,0.0183,9.8610,3.0210,1.5228,1,0
2.9259,168.2761,-0.0438,-0.0162,9.7271,3.0219,1.4842,1,0
2.9459,168.0772,0.0246,-0.0342,9.8788,3.0230,1.5087,1,0
2.9659,167.8658,0.0215,-0.0523,9.6881,3.0184,1.4949,1,0
2.9860,167.6498,-0.0438,0.0163,9.6644,3.0198,1.4864,1,0
3.0060,167.4369,0.0114,-0.0822,9.8077,3.0337,1.4968,0,1
3.0261,167.2347,-0.0426,0.0349,9.8384,3.0296,1.4929,0,1
3.0461,167.0498,0.0400,-0.0323,9.7464,3.0248,1.4975,0,1
3.0661,166.8880,0.1034,0.0183,9.7469,3.0315,1.4850,0,1
3.0862,166.7541,-0.0255,0.0366,9.7196,3.0304,1.4981,0,1
3.1062,166.6518,-0.0093,-0.0231,9.7834,3.0388,1.5130,0,1
3.1263,166.5834,-0.0207,0.0303,9.6974,3.0367,1.5039,0,1
3.1463,166.5500,-0.0376,0.0141,9.8457,3.0405,1.4933,0,1
3.1663,166.5515,0.0369,-0.0874,9.8493,3.0335,1.5053,0,1
3.1864,166.5863,0.0181,0.0096,9.7802,3.0365,1.4939,0,1
3.2064,166.6519,-0.0689,-0.0146,9.5935,3.0450,1.5005,0,1
3.2265,166.7449,0.0123,0.0311,9.7617,3.0457,1.4964,0,1
3.2465,166.8608,0.0886,0.0054,9.7545,3.0379,1.4942,0,1
3.2665,166.9947,-0.0695,-0.0218,9.7489,3.0450,1.5016,0,1
3.2866,167.1412,0.0470,-0.0754,9.9619,3.0365,1.4986,0,1
3.3066,167.2946,-0.0944,0.0076,9.8710,3.0409,1.4983,0,1
3.3267,167.4492,-0.1098,-0.0212,9.8859,3.0326,1.4924,0,1
3.3467,167.5995,0.0079,-0.0821,9.9596,3.0533,1.5109,0,1
3.3667,167.7404,-0.0099,-0.0192,9.8612,3.0386,1.5060,0,1
3.3868,167.8672,-0.0073,-0.0099,9.8425,3.0439,1.4943,0,1
3.4068,167.9762,0.0049,0.0756,9.8778,3.0432,1.4985,0,1
3.4269,168.0641,0.0136,-0.0457,9.8382,3.0433,1.4914,0,1
3.4469,168.1286,0.0861,0.0600,10.0388,3.0465,1.5095,0,1
3.4669,168.1685,-0.0412,-0.0263,9.8215,3.0532,1.4907,0,1
3.4870,168.1832,-0.0414,0.1088,9.9853,3.0419,1.4874,0,1
3.5070,168.1732,-0.0342,-0.0814,9.7992,3.0445,1.5025,0,1
3.5271,168.1399,0.0466,-0.0330,9.7122,3.0627,1.5151,0,1
3.5471,168.0854,-0.0727,0.0349,9.9239,3.0508,1.5112,0,1
3.5671,168.0123,-0.0245,-0.0048,9.6552,3.0475,1.5080,0,1
3.5872,167.9241,0.1541,0.0524,9.9376,3.0529,1.4951,0,1
3.6072,167.8244,0.0043,-0.0125,9.8651,3.0510,1.4896,0,1
3.6273,167.7171,-0.0808,0.0142,9.7706,3.0432,1.4909,0,1
3.6473,167.6065,0.0660,-0.0114,9.8145,3.0503,1.4985,0,1
3.6673,167.4964,0.0180,-0.0156,9.7052,3.0578,1.5059,0,1
3.6874,167.3907,-0.0693,0.0356,9.7768,3.0452,1.4838,0,1
3.7074,167.2931,0.0196,-0.1178,9.8678,3.0485,1.4891,0,1
3.7275,167.2066,0.0064,0.0135,9.8836,3.0638,1.4927,0,1
3.7475,167.1339,0.0816,0.0183,9.9821,3.0489,1.5213,0,1
3.7675,167.0769,-0.0012,0.0308,9.8124,3.0538,1.5125,0,1
3.7876,167.0370,-0.0114,0.0387,9.8346,3.0554,1.4853,0,1
3.8076,167.0151,0.0253,-0.0473,9.6713,3.0523,1.4911,0,1
3.8277,167.0111,0.0888,0.0886,9.6702,3.0489,1.5016,0,1
3.8477,167.0245,0.0203,-0.0692,10.0419,3.0480,1.4971,0,1
3.8677,167.0541,0.0101,-0.0269,9.8440,3.0465,1.4986,0,1
3.8878,167.0983,-0.0046,-0.0386,9.6925,3.0526,1.5017,0,1
3.9078,167.1549,-0.0419,-0.1048,9.7453,3.0441,1.5023,0,1
3.9279,167.2215,0.0718,-0.0095,9.7941,3.0449,1.4840,0,1
3.9479,167.2953,-0.0032,-0.0640,9.9160,3.0500,1.5088,0,1
3.9679,167.3734,-0.0327,0.0269,9.8054,3.0460,1.4985,0,1
3.9880,167.4528,-0.0348,-0.0115,9.7879,3.0460,1.5175,0,1
4.0080,167.5309,0.0567,0.0299,9.7372,3.0531,1.5112,1,0
4.0281,167.6047,0.0681,-0.0363,9.6992,3.0443,1.4835,1,0
4.0481,167.6720,-0.0564,-0.0199,9.8925,3.0476,1.5053,1,0
4.0681,167.7306,-0.0600,-0.0270,9.8247,3.0416,1.5011,1,0
4.0882,167.7787,-0.0082,-0.0467,9.7816,3.0449,1.4849,1,0
4.1082,167.8151,0.0832,-0.0265,9.8190,3.0366,1.5022,1,0
4.1283,167.8390,0.0031,0.0047,9.8784,3.0473,1.5040,1,0
4.1483,167.8500,0.0738,-0.0187,9.8366,3.0499,1.4977,1,0
4.1683,167.8482,-0.1164,0.0560,9.9693,3.0503,1.5033,1,0
4.1884,167.8342,0.1265,-0.0136,9.8496,3.0443,1.4990,1,0
4.2084,167.8090,0.0217,-0.0150,9.7918,3.0435,1.4830,1,0
4.2285,167.7739,-0.0343,-0.0149,9.9200,3.0435,1.4944,1,0
4.2485,167.7305,0.0477,-0.0273,9.9450,3.0457,1.4919,1,0
4.2685,167.6807,0.0014,0.0084,9.7874,3.0339,1.5059,1,0
4.2886,167.6264,0.0573,0.0226,9.7839,3.0360,1.4875,1,0
4.3086,167.5699,0.0212,0.0332,9.6599,3.0269,1.4947,1,0
4.3287,167.5131,-0.0701,-0.0131,9.8702,3.0478,1.5009,1,0
4.3487,167.4580,0.0426,0.0133,9.6803,3.0488,1.4865,1,0
4.3687,167.4067,-0.0464,0.0619,9.9134,3.0407,1.4964,1,0
4.3888,167.3606,-0.0722,-0.0162,9.8483,3.0444,1.4673,1,0
4.4088,167.3212,0.0446,0.0491,9.7182,3.0303,1.5043,1,0
4.4289,167.2897,-0.0097,0.1365,9.6089,3.0327,1.5015,1,0
4.4489,167.2669,0.0140,-0.0431,9.8039,3.0327,1.4817,1,0
4.4689,167.2531,0.0211,0.0131,9.8192,3.0270,1.4939,1,0
4.4890,167.2486,0.0603,0.0195,9.9618,3.0243,1.4811,1,0
4.5090,167.2532,0.0056,-0.0228,9.5637,3.0290,1.5040,1,0
4.5291,167.2663,-0.0065,0.0388,9.7923,3.0301,1.5033,1,0
4.5491,167.2871,0.0212,0.0464,9.7943,3.0235,1.4960,1,0
4.5691,167.3145,0.0455,0.0735,9.6689,3.0323,1.4986,1,0
4.5892,167.3475,0.0099,-0.0323,9.7797,3.0230,1.5128,1,0
4.6092,167.3845,-0.0275,0.0362,9.7721,3.0174,1.5022,1,0
4.6293,167.4242,-0.0041,-0.0446,9.7697,3.0217,1.5009,1,0
4.6493,167.4649,-0.0041,0.0884,9.8180,3.0278,1.4972,1,0
4.6693,167.5053,-0.0603,-0.0769,9.8966,3.0197,1.5184,1,0
4.6894,167.5439,-0.0525,0.0208,9.8785,3.0251,1.4921,1,0
4.7094,167.5795,-0.0448,0.0204,9.5737,3.0117,1.5134,1,0
4.7295,167.6108,-0.0141,-0.0341,9.6304,3.0169,1.4943,1,0
4.7495,167.6371,0.0343,-0.0062,9.8084,3.0144,1.4968,1,0
4.7695,167.6574,-0.0449,0.0055,9.6956,3.0128,1.5084,1,0
4.7896,167.6714,0.0210,-0.0228,9.9351,3.0037,1.4914,1,0
4.8096,167.6788,0.0785,0.0503,9.9463,3.0112,1.5117,1,0
4.8297,167.6797,-0.0310,-0.0067,9.6690,3.0006,1.4952,1,0
4.8497,167.6741,0.0125,0.0191,9.9327,3.0084,1.4971,1,0
4.8697,167.6626,0.0694,0.0691,9.8165,3.0120,1.5008,1,0
4.8898,167.6459,-0.0213,-0.0328,9.9140,3.0124,1.4940,1,0
4.9098,167.6246,0.0028,-0.0139,9.9733,3.0107,1.4999,1,0
4.9299,167.5998,0.0612,-0.0836,10.1042,3.0062,1.5145,1,0
4.9499,167.5725,0.1500,0.0360,9.7725,3.0032,1.5120,1,0
4.9699,167.5437,-0.0123,-0.0225,9.6760,3.0068,1.4938,1,0
4.9900,167.5144,-0.0183,0.0260,9.6919,3.0012,1.4870,1,0
5.0100,167.4858,-0.0009,0.0270,9.8010,3.0074,1.5006,0,1
5.0301,167.4589,-0.0084,-0.0505,9.8992,2.9929,1.4802,0,1
5.0501,167.4344,-0.0788,-0.0007,9.7986,2.9952,1.4833,0,1
5.0701,167.4132,0.0030,-0.0143,9.6841,3.0028,1.5094,0,1
5.0902,167.3959,-0.0295,-0.0023,9.9400,2.9893,1.5187,0,1
5.1102,167.3830,0.0391,0.0285,9.9163,2.9917,1.4819,0,1
5.1303,167.3747,-0.0141,0.0821,9.8749,2.9880,1.5102,0,1
5.1503,167.3711,0.0125,-0.0001,9.5952,2.9873,1.5006,0,1
5.1703,167.3722,-0.0797,0.0454,9.8267,2.9868,1.4914,0,1
5.1904,167.3778,-0.0166,-0.0203,9.8377,2.9887,1.4926,0,1
5.2104,167.3875,-0.0185,-0.0111,9.8199,2.9849,1.5100,0,1
5.2305,167.4007,0.0909,0.0666,9.7657,2.9833,1.4921,0,1
5.2505,167.4169,0.0282,-0.0432,9.8539,2.9822,1.5220,0,1
5.2705,167.4355,-0.0295,0.0088,9.8046,2.9828,1.5109,0,1
5.2906,167.4555,-0.0167,-0.1284,9.8583,2.9777,1.5067,0,1
5.3106,167.4764,-0.0269,0.0620,9.8168,2.9857,1.5045,0,1
5.3307,167.4973,-0.0081,-0.0128,9.8683,2.9779,1.4977,0,1
5.3507,167.5174,-0.0444,-0.0072,9.9376,2.9793,1.4968,0,1
5.3707,167.5361,0.0496,0.0228,9.9410,2.9732,1.5003,0,1
5.3908,167.5529,-0.0459,-0.0344,9.7313,2.9794,1.5002,0,1
5.4108,167.5671,-0.0159,-0.0442,9.8693,2.9818,1.5265,0,1
5.4309,167.5783,0.0446,-0.0080,9.7656,2.9676,1.4867,0,1
5.4509,167.5864,-0.0920,0.0341,9.8082,2.9697,1.5066,0,1
5.4709,167.5911,-0.0123,0.0666,9.6671,2.9684,1.4982,0,1
5.4910,167.5925,-0.0622,-0.0462,9.8079,2.9665,1.4944,0,1
5.5110,167.5905,-0.0033,-0.0670,9.7906,2.9668,1.5142,0,1
5.5311,167.5853,0.0584,-0.0002,9.6999,2.9703,1.5058,0,1
5.5511,167.5774,-0.0653,0.0422,9.6735,2.9671,1.5001,0,1
5.5711,167.5671,0.0819,-0.0529,9.8631,2.9688,1.5184,0,1
5.5912,167.5548,-0.0884,-0.0409,9.7793,2.9630,1.4929,0,1
5.6112,167.5411,-0.0067,0.0040,9.8654,2.9674,1.4965,0,1
5.6313,167.5264,0.0169,0.0135,9.7758,2.9594,1.4918,0,1
5.6513,167.5114,-0.0409,-0.0173,9.7987,2.9584,1.5127,0,1
5.6713,167.4966,0.0703,-0.0680,9.7519,2.9690,1.5135,0,1
5.6914,167.4825,0.0086,-0.0748,9.7443,2.9602,1.4964,0,1
5.7114,167.4695,-0.0651,-0.0219,9.8627,2.9474,1.4933,0,1
5.7315,167.4582,-0.0461,-0.0854,9.9126,2.9547,1.4963,0,1
5.7515,167.4487,0.0062,0.0992,9.7572,2.9592,1.5014,0,1
5.7715,167.4415,-0.0280,-0.0450,9.7774,2.9662,1.5007,0,1
5.7916,167.4366,-0.0557,0.0275,10.0528,2.9541,1.5028,0,1
5.8116,167.4341,0.0703,0.0408,9.8242,2.9568,1.5088,0,1
5.8317,167.4340,0.0480,-0.0588,9.8866,2.9681,1.4868,0,1
5.8517,167.4363,-0.0046,-0.0569,9.7771,2.9488,1.4926,0,1
5.8717,167.4407,-0.0353,-0.0326,9.7516,2.9541,1.5131,0,1
5.8918,167.4470,0.0455,0.0146,9.6401,2.9564,1.5039,0,1
5.9118,167.4550,0.0912,-0.1133,9.6853,2.9559,1.5112,0,1
5.9319,167.4642,-0.0511,-0.0290,10.0608,2.9498,1.5081,0,1
5.9519,167.4744,0.0291,0.0229,9.9177,2.9521,1.4782,0,1
5.9719,167.4850,-0.0135,0.0587,9.9255,2.9466,1.4858,0,1
5.9920,167.4958,-0.0051,0.0607,9.8531,2.9567,1.5059,0,1
6.0120,167.5062,-0.0625,0.0653,9.8544,2.9562,1.4938,1,0
6.0321,167.5161,-0.0446,-0.0059,9.9444,2.9577,1.4968,1,0
6.0521,167.5250,-0.0600,-0.0071,9.7930,2.9514,1.4836,1,0
6.0721,167.5326,0.0306,-0.1306,9.7426,2.9476,1.5044,1,0
6.0922,167.5388,0.0650,-0.0153,9.8777,2.9518,1.4949,1,0
6.1122,167.5434,-0.0531,-0.0080,9.7554,2.9554,1.4930,1,0
6.1323,167.5463,0.0282,0.0110,9.9024,2.9409,1.5171,1,0
6.1523,167.5475,0.0404,-0.0054,9.8219,2.9495,1.4911,1,0
6.1723,167.5469,0.0583,0.0127,9.8172,2.9494,1.5003,1,0
6.1924,167.5447,-0.0303,-0.0615,9.7708,2.9495,1.4971,1,0
6.2124,167.5410,-0.0344,-0.0232,9.9405,2.9426,1.4773,1,0
6.2325,167.5360,0.0065,0.0255,9.7217,2.9457,1.4995,1,0
6.2525,167.5299,0.0065,0.0528,9.8058,2.9477,1.5073,1,0
6.2725,167.5230,0.0398,0.0495,9.7487,2.9556,1.5150,1,0
6.2926,167.5156,0.0832,-0.0244,9.8810,2.9477,1.4959,1,0
6.3126,167.5079,-0.0460,-0.0765,9.8732,2.9368,1.4929,1,0
6.3327,167.5003,-0.0478,0.0216,9.8351,2.9417,1.4965,1,0
6.3527,167.4929,0.0898,0.0410,9.8412,2.9563,1.4888,1,0
6.3727,167.4861,0.0730,0.0189,9.7574,2.9507,1.4982,1,0
6.3928,167.4800,0.0392,-0.0607,9.9844,2.9577,1.5012,1,0
6.4128,167.4749,0.1133,0.0389,9.7707,2.9549,1.4976,1,0
6.4329,167.4708,-0.0219,0.0908,9.9994,2.9474,1.4922,1,0
6.4529,167.4680,0.0173,-0.0251,9.8846,2.9564,1.4998,1,0
6.4729,167.4664,0.0014,-0.0500,9.9345,2.9486,1.4951,1,0
6.4930,167.4660,0.0705,0.0006,9.7711,2.9521,1.4973,1,0
6.5130,167.4669,0.0196,0.0439,9.7576,2.9611,1.5094,1,0
6.5331,167.4688,0.0595,0.0309,10.0378,2.9493,1.5110,1,0
6.5531,167.4719,-0.0552,0.0370,9.9913,2.9472,1.5023,1,0
6.5731,167.4757,-0.0525,0.0324,9.9657,2.9582,1.5037,1,0
6.5932,167.4803,-0.0546,-0.0532,9.7463,2.9538,1.4824,1,0
6.6132,167.4854,0.0015,0.0451,9.9198,2.9593,1.5026,1,0
6.6333,167.4908,0.0266,-0.0099,10.0591,2.9564,1.5007,1,0
6.6533,167.4964,0.0149,-0.0221,10.0286,2.9560,1.4972,1,0
6.6733,167.5018,-0.0359,0.0659,9.7795,2.9561,1.4896,1,0
6.6934,167.5069,0.0558,-0.0641,9.7032,2.9620,1.4932,1,0
6.7134,167.5117,0.0335,-0.0261,9.6321,2.9542,1.4998,1,0
6.7335,167.5158,-0.0504,0.0191,9.7926,2.9546,1.5141,1,0
6.7535,167.5192,0.0273,0.0241,9.6564,2.9594,1.5043,1,0
6.7735,167.5218,0.0142,-0.0286,9.6667,2.9579,1.5097,1,0
6.7936,167.5235,-0.0052,0.0609,9.7452,2.9546,1.4906,1,0
6.8136,167.5243,-0.0246,0.1296,9.7660,2.9641,1.5027,1,0
6.8337,167.5242,0.0769,-0.1140,9.9390,2.9678,1.4933,1,0
6.8537,167.5233,-0.0295,-0.0290,9.8099,2.9563,1.5045,1,0
6.8737,167.5216,-0.0331,-0.0897,9.8375,2.9621,1.4975,1,0
6.8938,167.5192,0.0380,-0.0167,9.8618,2.9664,1.5037,1,0
6.9138,167.5162,0.0195,0.0959,9.7799,2.9692,1.4971,1,0
